 numFactors,MAP10_max,MAP10_max_numIter,MAP10_mean,MAP10_min,MAP10_min_numIter,MAP40_max,MAP40_max_numIter,MAP40_mean,MAP40_min,MAP40_min_numIter,MAP5_max,MAP5_max_numIter,MAP5_mean,MAP5_min,MAP5_min_numIter,algoName
8,0.225875,171,0.149000194,0.097724,74,0.266311,171,0.197434497,0.144866,74,0.188275,171,0.112105817,0.058183,51,CPTF
8,0.240623,84,0.162620194,0.101663,137,0.282748,84,0.209493382,0.157325,146,0.206245,159,0.126376869,0.062172,146,CAMFC
8,0.246767,171,0.182125503,0.116982,167,0.28594,171,0.227409958,0.167006,159,0.193638,171,0.13593989,0.069225,167,BiasedCPTF
8,0.245639,68,0.184051079,0.136551,118,0.286625,13,0.231557827,0.19003,118,0.203338,13,0.136667927,0.08831,66,BiasedCPTF_v2
9,0.230883,83,0.149860513,0.089047,11,0.277416,83,0.198319681,0.142258,11,0.183685,117,0.112659204,0.052383,11,CPTF
9,0.250751,36,0.165281356,0.097901,18,0.295036,36,0.211539717,0.148255,18,0.221423,36,0.127141382,0.059057,18,CAMFC
9,0.244429,116,0.182912838,0.12501,122,0.28639,116,0.228645476,0.177445,122,0.195653,116,0.136839843,0.080314,122,BiasedCPTF
9,0.258915,118,0.185006204,0.123411,196,0.305783,118,0.231973733,0.18015,47,0.211133,118,0.137416895,0.075801,13,BiasedCPTF_v2
15,0.227197,73,0.149275209,0.09429,57,0.268313,73,0.197251021,0.147413,17,0.184924,134,0.112675152,0.057268,17,CPTF
15,0.292019,43,0.168792932,0.102529,156,0.330338,43,0.215026047,0.150532,195,0.26032,43,0.132877534,0.059003,156,CAMFC
15,0.264504,177,0.185895047,0.132989,151,0.302317,177,0.230556361,0.178618,151,0.210359,119,0.139048733,0.082663,13,BiasedCPTF
15,0.360228,106,0.26131911,0.13919,156,0.388294,129,0.299723492,0.192303,188,0.323498,129,0.215158953,0.090189,184,BiasedCPTF_v2
20,0.225196,183,0.148324665,0.073422,12,0.28348,183,0.197290728,0.128099,12,0.190894,183,0.111811209,0.042808,12,CPTF
20,0.272251,193,0.177124021,0.104637,179,0.312954,193,0.223169853,0.154915,179,0.244979,193,0.143252733,0.069551,179,CAMFC
20,0.244928,98,0.183787623,0.129393,81,0.287504,98,0.22923788,0.179915,65,0.197295,98,0.137308974,0.077277,167,BiasedCPTF
20,0.259408,124,0.184665555,0.122188,15,0.297396,124,0.231514105,0.170704,15,0.213078,24,0.137256497,0.073066,126,BiasedCPTF_v2
