 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, reg, isBoldDriver, TrainTime, TestTime
0.12439,0.107724,0.054472,0.228184,0.411314,1,0.39397,0.476396,0.552179,0.132283,0.178801,0.224336,0.179319,0.254924,0.409994,0.214431,0.24095,0.263184,8,10,0.02,-1,1.00E-04,TRUE,'00:22','00:00'
0.116667,0.112698,0.054762,0.242415,0.449547,1,0.429894,0.452625,0.575209,0.143328,0.190122,0.238189,0.18694,0.270942,0.4186,0.217328,0.253519,0.274489,8,11,0.02,-1,1.00E-04,TRUE,'00:28','00:00'
0.123932,0.111111,0.054487,0.215697,0.458384,1,0.37037,0.425937,0.589517,0.142427,0.191636,0.238202,0.182501,0.273596,0.421718,0.221937,0.250488,0.273105,8,12,0.02,-1,1.00E-04,TRUE,'00:24','00:00'
0.115909,0.101894,0.053693,0.215371,0.392172,1,0.370265,0.441344,0.562511,0.127779,0.168303,0.219134,0.169997,0.241816,0.404387,0.200063,0.225409,0.247801,8,13,0.02,-1,1.00E-04,TRUE,'00:24','00:00'
0.112121,0.101515,0.050758,0.254443,0.438258,1,0.443813,0.487205,0.608493,0.129506,0.174504,0.219763,0.178683,0.251214,0.402879,0.198169,0.222548,0.250107,8,14,0.02,-1,1.00E-04,TRUE,'00:28','00:00'
0.117037,0.126667,0.056389,0.234413,0.479406,1,0.425,0.422571,0.593795,0.135785,0.193874,0.236615,0.182823,0.284296,0.423741,0.22358,0.261192,0.279862,8,15,0.02,-1,1.00E-04,TRUE,'00:27','00:00'
0.130233,0.115116,0.052035,0.287989,0.503774,1,0.43637,0.479432,0.591511,0.164976,0.213323,0.252864,0.2162,0.300976,0.430637,0.24031,0.27245,0.291076,8,16,0.02,-1,1.00E-04,TRUE,'00:30','00:00'
0.112698,0.102778,0.05377,0.200561,0.391588,1,0.386243,0.429819,0.535321,0.12918,0.171222,0.216372,0.166175,0.242645,0.39927,0.202116,0.232963,0.254753,8,17,0.02,-1,1.00E-04,TRUE,'00:31','00:00'
0.103788,0.095455,0.045265,0.177802,0.430808,1,0.440341,0.427061,0.555442,0.118374,0.162488,0.200884,0.148788,0.240454,0.381574,0.173359,0.211645,0.233248,8,18,0.02,-1,1.00E-04,TRUE,'00:39','00:00'
0.102837,0.102482,0.052216,0.190297,0.434951,1,0.414007,0.450073,0.58503,0.117073,0.169212,0.216645,0.154973,0.249359,0.400973,0.191608,0.227171,0.250403,8,19,0.02,-1,1.00E-04,TRUE,'00:37','00:00'
0.117073,0.105691,0.053557,0.23182,0.457317,1,0.390583,0.460003,0.566421,0.12902,0.178957,0.22259,0.174732,0.261797,0.409836,0.197629,0.228676,0.250962,8,20,0.02,-1,1.00E-04,TRUE,'00:45','00:00'
