 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, reg, isBoldDriver, TrainTime, TestTime
0.108148,0.094815,0.048704,0.237528,0.433563,1,0.415432,0.433576,0.570929,0.126205,0.164938,0.207888,0.16703,0.240727,0.386249,0.174815,0.204393,0.226354,11,54,0.02,-1,1.00E-04,TRUE,'01:24','00:00'
0.113178,0.101938,0.049516,0.248954,0.466233,1,0.435401,0.483435,0.563078,0.155179,0.202752,0.240291,0.194381,0.27864,0.41484,0.210336,0.242503,0.262839,11,54,0.02,-1,1.00E-04,TRUE,'02:59:57','00:00'
0.124031,0.122481,0.058043,0.251862,0.441986,1,0.404716,0.438742,0.584405,0.126093,0.174343,0.225974,0.178098,0.259863,0.409675,0.198256,0.228774,0.247805,11,57,0.02,-1,1.00E-04,TRUE,'02:18','00:00'
0.109091,0.098485,0.048106,0.248174,0.434006,1,0.441604,0.464402,0.597647,0.14244,0.185086,0.229678,0.184576,0.258395,0.405844,0.205619,0.235244,0.259087,8,10,0.02,-1,1.00E-04,TRUE,'00:25','00:00'
0.117886,0.112602,0.058943,0.236727,0.432549,1,0.400745,0.410803,0.604027,0.128247,0.174299,0.228771,0.17186,0.252897,0.415434,0.189634,0.224006,0.247849,8,11,0.02,-1,1.00E-04,TRUE,'00:23','00:00'
0.109524,0.11746,0.055456,0.215246,0.496873,1,0.416667,0.400947,0.59076,0.099896,0.157892,0.202861,0.146944,0.257085,0.396138,0.166071,0.214249,0.232954,8,12,0.02,-1,1.00E-04,TRUE,'00:26','00:00'
0.126984,0.10119,0.050496,0.306705,0.509354,1,0.41832,0.504571,0.637906,0.203338,0.240418,0.286625,0.250319,0.326307,0.464004,0.282143,0.309637,0.329275,8,13,0.02,-1,1.00E-04,TRUE,'00:36','00:00'
0.117829,0.113178,0.054748,0.211778,0.430525,1,0.408915,0.445384,0.5721,0.149279,0.199554,0.246854,0.187905,0.273119,0.423143,0.235788,0.265652,0.286669,8,14,0.02,-1,1.00E-04,TRUE,'00:32','00:00'
0.125397,0.111508,0.052778,0.238961,0.464021,1,0.416336,0.457314,0.619529,0.137103,0.185906,0.231549,0.181993,0.269662,0.416681,0.199405,0.235191,0.2574,8,15,0.02,-1,1.00E-04,TRUE,'00:36','00:00'
0.122222,0.10812,0.052564,0.217508,0.431481,1,0.409544,0.449129,0.609003,0.164216,0.209002,0.259138,0.197534,0.280204,0.434163,0.232051,0.263936,0.286369,8,16,0.02,-1,1.00E-04,TRUE,'00:40','00:00'
0.109302,0.110853,0.056395,0.189041,0.451436,1,0.4073,0.404712,0.595753,0.141471,0.191038,0.242005,0.172896,0.273264,0.426774,0.208786,0.249266,0.269852,8,17,0.02,-1,1.00E-04,TRUE,'00:42','00:00'
0.091057,0.097561,0.053659,0.153794,0.423848,1,0.439702,0.407065,0.581492,0.108216,0.157179,0.206688,0.138601,0.238666,0.397807,0.181504,0.222033,0.245818,8,18,0.02,-1,1.00E-04,TRUE,'00:44','00:00'
0.115217,0.103623,0.053714,0.231802,0.402009,1,0.391002,0.4744,0.619526,0.128491,0.171327,0.226774,0.17397,0.244553,0.410502,0.197705,0.221135,0.2497,8,19,0.02,-1,1.00E-04,TRUE,'00:43','00:00'
0.108943,0.106098,0.053963,0.196409,0.387021,1,0.428184,0.415582,0.578461,0.132818,0.176801,0.228799,0.166341,0.24488,0.409429,0.195528,0.227608,0.253248,8,20,0.02,-1,1.00E-04,TRUE,'00:44','00:00'
0.101481,0.094815,0.049259,0.224471,0.438951,1,0.433642,0.423652,0.597874,0.139611,0.177898,0.223141,0.1745,0.255058,0.405064,0.193025,0.22632,0.249066,8,21,0.02,-1,1.00E-04,TRUE,'00:48','00:00'
0.13252,0.12439,0.056504,0.212431,0.455662,1,0.317073,0.423627,0.584566,0.117344,0.174871,0.219301,0.16543,0.262377,0.406673,0.205623,0.232614,0.254747,8,22,0.02,-1,1.00E-04,TRUE,'00:50','00:00'
0.103788,0.104545,0.047727,0.208451,0.471717,1,0.431503,0.428889,0.611479,0.124137,0.176717,0.220331,0.158901,0.258639,0.398005,0.168561,0.207389,0.230231,8,23,0.02,-1,1.00E-04,TRUE,'00:53','00:00'
0.113768,0.101812,0.049819,0.261368,0.429595,1,0.496075,0.496265,0.611262,0.197167,0.239448,0.284656,0.229741,0.300163,0.450846,0.257246,0.282307,0.306842,8,24,0.02,-1,1.00E-04,TRUE,'00:53','00:00'
0.128788,0.113636,0.052557,0.282155,0.485732,1,0.406566,0.457522,0.61278,0.157734,0.204787,0.2473,0.210568,0.291503,0.429479,0.24173,0.268428,0.289251,8,25,0.02,-1,1.00E-04,TRUE,'00:53','00:00'
0.117886,0.118293,0.054573,0.218868,0.454945,1,0.420393,0.443505,0.613463,0.1247,0.177715,0.228136,0.16953,0.263091,0.410936,0.200542,0.233959,0.256438,8,26,0.02,-1,1.00E-04,TRUE,'00:58','00:00'
0.129268,0.118699,0.05437,0.242031,0.485705,1,0.430556,0.46533,0.616729,0.156044,0.211821,0.253855,0.20029,0.295389,0.435385,0.238957,0.271503,0.294084,8,27,0.02,-1,1.00E-04,TRUE,'01:04','00:00'
