 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, regB, regU, regI, regC, isBoldDriver, TrainTime, TestTime,
0.111382,0.097154,0.055488,0.203692,0.323092,1.000000,0.383130,0.454026,0.475884,0.116599,0.150696,0.200588,0.160516,0.212398,0.386333,0.205420,0.218923,0.245251,8,10,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.131818,0.089394,0.048106,0.298801,0.364141,1.000000,0.417929,0.551347,0.519753,0.161332,0.187393,0.229620,0.219025,0.250469,0.408415,0.246023,0.254085,0.277967,8,11,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.090598,0.091880,0.059188,0.115171,0.279304,1.000000,0.435185,0.376162,0.475404,0.085906,0.123833,0.183701,0.111833,0.179871,0.374656,0.156553,0.187329,0.213867,8,12,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.095455,0.101136,0.052557,0.169691,0.415771,1.000000,0.448864,0.421349,0.572159,0.115223,0.165631,0.214362,0.146841,0.240921,0.397476,0.181818,0.217710,0.242102,8,13,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.125203,0.097967,0.052134,0.232517,0.353381,1.000000,0.447154,0.476993,0.467997,0.154746,0.186651,0.228619,0.199705,0.250111,0.408807,0.253794,0.270822,0.293340,8,14,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.113492,0.120635,0.058532,0.211511,0.470609,1.000000,0.413029,0.432095,0.544698,0.115854,0.173791,0.217151,0.163313,0.264452,0.407944,0.210317,0.245301,0.265404,8,15,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.132558,0.106977,0.054167,0.232512,0.397499,1.000000,0.377907,0.459652,0.525614,0.125069,0.164251,0.209716,0.178113,0.245394,0.400356,0.218282,0.243792,0.262277,8,16,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.139535,0.111628,0.053198,0.313935,0.445543,1.000000,0.439922,0.541082,0.588797,0.172204,0.213777,0.258362,0.231434,0.289774,0.436751,0.252390,0.266093,0.289137,8,17,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.127500,0.108333,0.057292,0.238519,0.368958,1.000000,0.454514,0.494581,0.520467,0.192045,0.231961,0.279413,0.229334,0.287925,0.452290,0.290833,0.308037,0.332991,8,18,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.118699,0.097967,0.055488,0.205401,0.349797,1.000000,0.387195,0.449744,0.512278,0.116169,0.151782,0.203846,0.160819,0.218382,0.391650,0.195122,0.214107,0.239511,8,19,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
