 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, reg, isBoldDriver, TrainTime, TestTime,
0.119048,0.107937,0.054563,0.253086,0.407011,1.000000,0.449074,0.463672,0.547533,0.145877,0.188629,0.232874,0.193735,0.259013,0.414631,0.218783,0.243210,0.264562,8,10,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.083721,0.073643,0.050581,0.146770,0.237274,1.000000,0.443798,0.451481,0.426370,0.086624,0.115061,0.163969,0.115605,0.155907,0.346676,0.144574,0.159327,0.190493,8,11,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.117094,0.098291,0.055662,0.192988,0.366032,1.000000,0.335114,0.431505,0.534746,0.096406,0.134787,0.186701,0.139728,0.207822,0.379240,0.163960,0.191256,0.216883,8,12,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.088095,0.076984,0.050794,0.136335,0.290212,1.000000,0.424934,0.445405,0.478083,0.092274,0.124650,0.174320,0.118809,0.178387,0.361300,0.148942,0.175948,0.203812,8,13,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.107576,0.101136,0.053883,0.192199,0.344508,1.000000,0.366162,0.423889,0.512622,0.113842,0.154525,0.203584,0.153030,0.218626,0.387575,0.180366,0.202558,0.225824,8,14,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.103968,0.093651,0.053373,0.183104,0.340320,1.000000,0.426257,0.473710,0.491718,0.110860,0.151118,0.198686,0.148793,0.211298,0.380806,0.183664,0.205422,0.231553,8,15,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.100000,0.110000,0.057083,0.166607,0.399127,1.000000,0.389583,0.410623,0.512012,0.110311,0.166313,0.210825,0.142765,0.239272,0.397054,0.181667,0.215093,0.239104,8,16,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.082946,0.075194,0.047481,0.147933,0.325840,1.000000,0.449289,0.436531,0.518084,0.089416,0.122761,0.170928,0.114228,0.180997,0.356443,0.122804,0.152281,0.183266,8,17,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.084127,0.082937,0.050397,0.149802,0.294378,1.000000,0.455688,0.447696,0.499959,0.097674,0.131244,0.184097,0.122104,0.182180,0.363826,0.139947,0.167668,0.198018,8,18,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.103175,0.091667,0.051488,0.195611,0.346513,1.000000,0.438161,0.488028,0.525809,0.119542,0.156622,0.206700,0.155874,0.216507,0.387514,0.179034,0.198559,0.227840,8,19,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.101587,0.074603,0.050000,0.225209,0.308552,1.000000,0.428902,0.475887,0.492385,0.128436,0.145364,0.195360,0.160499,0.196043,0.374249,0.154960,0.171961,0.201611,8,20,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.100000,0.091057,0.053963,0.170098,0.338130,1.000000,0.448171,0.455251,0.502386,0.113947,0.153468,0.203327,0.148675,0.214966,0.388134,0.196138,0.217996,0.245955,8,21,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.101481,0.084074,0.047407,0.231806,0.376425,1.000000,0.474074,0.481489,0.530851,0.144378,0.175824,0.220140,0.178180,0.236536,0.395655,0.184198,0.212382,0.236756,8,22,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.110606,0.088258,0.054640,0.205190,0.322508,1.000000,0.371212,0.444170,0.505165,0.121731,0.149119,0.202001,0.159703,0.208305,0.386574,0.188005,0.207105,0.233021,8,23,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.113492,0.101190,0.055159,0.211239,0.376990,1.000000,0.429894,0.461113,0.526855,0.128891,0.169962,0.217496,0.171945,0.239592,0.404239,0.216997,0.241660,0.267363,8,24,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.095349,0.089535,0.050484,0.175766,0.401513,1.000000,0.431202,0.459160,0.540389,0.113206,0.158632,0.203325,0.145758,0.230267,0.387956,0.173643,0.205617,0.230919,8,25,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.096667,0.101250,0.053646,0.188205,0.377601,1.000000,0.422917,0.433176,0.526832,0.100844,0.144336,0.192883,0.141466,0.219848,0.381881,0.169583,0.198955,0.222050,8,26,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.103252,0.086992,0.051016,0.223577,0.355643,1.000000,0.419038,0.471351,0.465689,0.145359,0.175573,0.218717,0.181855,0.237094,0.397334,0.212534,0.235792,0.257410,8,27,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.091870,0.080081,0.053963,0.134892,0.264866,1.000000,0.427507,0.428459,0.452291,0.091057,0.118215,0.172222,0.116023,0.168051,0.359026,0.142141,0.163786,0.194498,8,28,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.094444,0.077381,0.048214,0.192863,0.350057,1.000000,0.424603,0.440476,0.477984,0.107705,0.133391,0.178386,0.139606,0.198551,0.365085,0.150860,0.178535,0.205261,8,29,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.116667,0.102083,0.058646,0.189339,0.299558,1.000000,0.390625,0.440381,0.485678,0.113748,0.147316,0.203470,0.156457,0.206359,0.389128,0.196944,0.213659,0.238951,8,30,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.093182,0.097348,0.054735,0.160619,0.354172,1.000000,0.445707,0.443794,0.507746,0.090975,0.138318,0.187990,0.124798,0.204876,0.373891,0.145707,0.179324,0.202387,8,31,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.094167,0.085000,0.050104,0.142801,0.264769,1.000000,0.393750,0.462677,0.478412,0.080652,0.116879,0.167468,0.109891,0.162682,0.347488,0.127222,0.143614,0.177915,8,32,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.091667,0.085606,0.050663,0.158679,0.318561,1.000000,0.436553,0.480978,0.487715,0.092694,0.134282,0.180374,0.126886,0.193191,0.365406,0.161111,0.184410,0.212413,8,33,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.080000,0.066296,0.048056,0.158007,0.269718,1.000000,0.449074,0.462551,0.507053,0.089375,0.114116,0.166029,0.115706,0.159744,0.349777,0.122963,0.141304,0.176281,8,34,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.109167,0.110000,0.053437,0.201496,0.420215,1.000000,0.446875,0.453811,0.592184,0.125450,0.179075,0.227008,0.163343,0.252156,0.408131,0.195833,0.229033,0.254213,8,35,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.100813,0.096748,0.053557,0.166486,0.351152,1.000000,0.404472,0.434000,0.494063,0.125745,0.168915,0.214928,0.152994,0.227119,0.391735,0.191328,0.222085,0.245764,8,36,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.109630,0.083333,0.044074,0.247619,0.417637,1.000000,0.448457,0.483282,0.560391,0.156530,0.184247,0.225355,0.195503,0.256330,0.403512,0.218889,0.240773,0.264849,8,37,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.120325,0.109756,0.057520,0.192796,0.366192,1.000000,0.378049,0.463390,0.521904,0.117421,0.162662,0.215531,0.164311,0.235059,0.403090,0.226694,0.246545,0.271257,8,38,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.118939,0.096591,0.052746,0.255969,0.378730,1.000000,0.431503,0.496712,0.534718,0.146996,0.180723,0.225479,0.192322,0.243685,0.404849,0.215152,0.230550,0.257243,8,39,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.112613,0.099550,0.058896,0.167587,0.310743,1.000000,0.426426,0.470314,0.444068,0.124170,0.164078,0.215231,0.155814,0.217495,0.398184,0.197372,0.221509,0.246828,8,40,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.085926,0.084444,0.049167,0.155812,0.331254,1.000000,0.390123,0.457044,0.501491,0.080942,0.119618,0.168838,0.112418,0.182064,0.351237,0.128457,0.153426,0.181631,8,41,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.085271,0.086434,0.050388,0.124994,0.307706,1.000000,0.425711,0.421973,0.445884,0.076955,0.117768,0.163610,0.105359,0.177938,0.349202,0.138566,0.169068,0.194212,8,42,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.121368,0.103846,0.054701,0.173348,0.363960,1.000000,0.375000,0.440872,0.493979,0.127631,0.170665,0.216395,0.160690,0.233365,0.396467,0.203348,0.225265,0.250654,8,43,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.091667,0.075000,0.049621,0.165720,0.251515,1.000000,0.467172,0.495476,0.426846,0.114899,0.141862,0.188129,0.145491,0.185052,0.370002,0.184975,0.199471,0.228999,8,44,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.099145,0.102564,0.054594,0.161423,0.348148,1.000000,0.420940,0.416578,0.539715,0.082850,0.129148,0.181676,0.121273,0.200912,0.374812,0.155271,0.193003,0.217784,8,45,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.097778,0.085926,0.051296,0.188189,0.352593,1.000000,0.399074,0.450423,0.486873,0.098148,0.135821,0.183001,0.137813,0.199803,0.366447,0.161790,0.180594,0.206130,8,46,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.105691,0.097967,0.054878,0.166713,0.339060,1.000000,0.413957,0.462629,0.485681,0.110096,0.154934,0.204681,0.147133,0.220368,0.390939,0.197154,0.227868,0.250897,8,47,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.112821,0.093162,0.056944,0.237076,0.367029,1.000000,0.411325,0.447353,0.511867,0.121620,0.151806,0.202108,0.165978,0.220979,0.391185,0.184900,0.208688,0.233425,8,48,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.115385,0.106410,0.062179,0.191473,0.319048,1.000000,0.403134,0.451241,0.463274,0.119328,0.157184,0.210709,0.164262,0.224660,0.405463,0.227635,0.253922,0.275897,8,49,0.02,-1.0,1.0E-4,true,'00:00','00:00',
0.122222,0.093162,0.049466,0.271557,0.407123,1.000000,0.415598,0.492284,0.528109,0.162500,0.192918,0.233974,0.204586,0.259213,0.410375,0.212322,0.235570,0.257839,8,50,0.02,-1.0,1.0E-4,true,'00:00','00:00',
